,References_id
0,EML4,27436,"['EML4', 'C2orf2', 'ELP120', 'EMAP-4', 'EMAPL4', 'ROPP120']",2131
0,EML4,27436,"['EML4', 'C2orf2', 'ELP120', 'EMAP-4', 'EMAPL4', 'ROPP120']",2146
0,TP53,7157,"['TP53', 'BCC7', 'LFS1', 'P53', 'TRP53']",2397
0,CBLB,868,"['CBLB', 'Cbl-b', 'Nbla00127', 'RNF56']",3301
0,CBL,867,"['CBL', 'C-CBL', 'CBL2', 'FRA11B', 'NSLL', 'RNF55']",3302
0,MLH1,4292,"['MLH1', 'COCA2', 'FCC2', 'hMLH1', 'HNPCC', 'HNPCC2']",3309
0,MLH1,4292,"['MLH1', 'COCA2', 'FCC2', 'hMLH1', 'HNPCC', 'HNPCC2']",3310
0,MLH1,4292,"['MLH1', 'COCA2', 'FCC2', 'hMLH1', 'HNPCC', 'HNPCC2']",3311
0,SF3B1,23451,"['SF3B1', 'Hsh155', 'MDS', 'PRP10', 'PRPF10', 'SAP155', 'SF3b155']",3342
0,RET,5979,"['RET', 'CDHF12', 'CDHR16', 'HSCR1', 'MEN2A', 'MEN2B', 'MTC1', 'PTC', 'RET-ELE1']",3686
0,CSF3R,1441,"['CSF3R', 'CD114', 'GCSFR', 'SCN7']",3950
0,CALR,811,"['CALR', 'cC1qR', 'CRT', 'HEL-S-99n', 'RO', 'SSA']",3952
0,CDH1,999,"['CDH1', 'Arc-1', 'BCDS1', 'CD324', 'CDHE', 'ECAD', 'LCAM', 'UVO']",4192
0,CDH1,999,"['CDH1', 'Arc-1', 'BCDS1', 'CD324', 'CDHE', 'ECAD', 'LCAM', 'UVO']",4193
0,CDH1,999,"['CDH1', 'Arc-1', 'BCDS1', 'CD324', 'CDHE', 'ECAD', 'LCAM', 'UVO']",4194
0,HNF1A,6927,"['HNF1A', 'HNF-1A', 'HNF1', 'IDDM20', 'LFB1', 'MODY3', 'TCF-1', 'TCF1']",4196
0,RB1,5925,"['RB1', 'OSRC', 'p105-Rb', 'pp110', 'PPP1R130', 'pRb', 'RB']",4270
0,SMO,6608,"['SMO', 'CRJS', 'FZD11', 'Gx', 'SMOH']",4278
0,NOTCH1,4851,"['NOTCH1', 'AOS5', 'AOVD1', 'hN1', 'TAN1']",4517
0,CDKN2A,1029,"['CDKN2A', 'ARF', 'CDK4I', 'CDKN2', 'CMM2', 'INK4', 'INK4A', 'MLM', 'MTS-1', 'MTS1', 'P14', 'P14ARF', 'P16', 'P16-INK4A', 'P16INK4', 'P16INK4A', 'P19', 'P19ARF', 'TP16']",4575
0,EGFR,1956,"['EGFR', 'ERBB', 'ERBB1', 'HER1', 'mENA', 'NISBD2', 'PIG61']",5162
0,RUNX1,861,"['RUNX1', 'AML1', 'AML1-EVI-1', 'AMLCR1', 'CBF2alpha', 'CBFA2', 'EVI-1', 'PEBP2aB', 'PEBP2alpha']",5279
0,SF3B1,23451,"['SF3B1', 'Hsh155', 'MDS', 'PRP10', 'PRPF10', 'SAP155', 'SF3b155']",5324
1,SRSF2,6427,"['SRSF2', 'PR264', 'SC-35', 'SC35', 'SFRS2', 'SFRS2A', 'SRp30b']",5324
0,SF3B1,23451,"['SF3B1', 'Hsh155', 'MDS', 'PRP10', 'PRPF10', 'SAP155', 'SF3b155']",5325
0,ZRSR2,8233,"['ZRSR2', 'U2AF1-RS2', 'U2AF1L2', 'U2AF1RS2', 'URP', 'ZC3H22']",5327
0,CEBPA,1050,"['CEBPA', 'C/EBP-alpha', 'CEBP']",5328
0,SMC3,9126,"['SMC3', 'BAM', 'BMH', 'CDLS3', 'CSPG6', 'HCAP', 'SMC3L1']",5339
0,SMC3,9126,"['SMC3', 'BAM', 'BMH', 'CDLS3', 'CSPG6', 'HCAP', 'SMC3L1']",5340
0,SMC3,9126,"['SMC3', 'BAM', 'BMH', 'CDLS3', 'CSPG6', 'HCAP', 'SMC3L1']",5341
0,SMC3,9126,"['SMC3', 'BAM', 'BMH', 'CDLS3', 'CSPG6', 'HCAP', 'SMC3L1']",5342
0,ATRX,546,"['ATRX', 'JMS', 'MRX52', 'RAD54', 'RAD54L', 'XH2', 'XNP', 'ZNF-HX']",5444
0,SRSF2,6427,"['SRSF2', 'PR264', 'SC-35', 'SC35', 'SFRS2', 'SFRS2A', 'SRp30b']",5453
